datetime,open_interest,oi_usd
2026-03-27 11:00:00,2192711.831,4363859972.936333
2026-03-27 12:00:00,2199480.731,4377472535.25813
2026-03-27 13:00:00,2215325.713,4403692886.969203
2026-03-27 14:00:00,2226721.467,4403453037.06585
2026-03-27 15:00:00,2225635.375,4425319841.5275
2026-03-27 16:00:00,2221476.908,4421541310.046461
2026-03-27 17:00:00,2228243.98,4425047437.4422
2026-03-27 18:00:00,2230702.102,4408982704.603
2026-03-27 19:00:00,2225712.256,4414556106.091002
2026-03-27 20:00:00,2221296.185,4422169428.48535
2026-03-27 21:00:00,2222585.63,4411577205.567187
2026-03-27 22:00:00,2219156.696,4404360294.5512
2026-03-27 23:00:00,2221523.47,4408391173.868
2026-03-28 00:00:00,2216752.698,4415222083.713236
2026-03-28 01:00:00,2217488.702,4416150924.92002
2026-03-28 02:00:00,2217797.591,4411812415.22713
2026-03-28 03:00:00,2219568.557,4408551459.28454
2026-03-28 04:00:00,2219655.343,4412541642.56342
2026-03-28 05:00:00,2220758.437,4418576508.211509
2026-03-28 06:00:00,2225402.844,4435183360.03512
2026-03-28 07:00:00,2218970.301,4438357906.037127
2026-03-28 08:00:00,2222318.746,4457888127.814532
2026-03-28 09:00:00,2229632.669,4455185110.21573
2026-03-28 10:00:00,2229572.658,4455756365.55984
2026-03-28 11:00:00,2224425.777,4439695221.889622
2026-03-28 12:00:00,2224095.035,4441325305.83906
2026-03-28 13:00:00,2226196.369,4449609992.53875
2026-03-28 14:00:00,2196615.221,4449222163.98329
2026-03-28 15:00:00,2200024.402,4443901208.221499
2026-03-28 16:00:00,2223152.767,4503640643.86093
2026-03-28 17:00:00,2228519.426,4509802784.453678
2026-03-28 18:00:00,2233806.776,4511954616.5036
2026-03-28 19:00:00,2229588.879,4505220427.589098
2026-03-28 20:00:00,2229338.902,4502220560.160458
2026-03-28 21:00:00,2226979.301,4506325217.7487545
2026-03-28 22:00:00,2212327.101,4444295825.105732
2026-03-28 23:00:00,2213980.552,4452167291.361154
2026-03-29 00:00:00,2187883.206,4362770026.09024
2026-03-29 01:00:00,2182233.917,4361292911.148651
2026-03-29 02:00:00,2183726.906,4376242669.536215
2026-03-29 03:00:00,2196663.278,4411317228.24682
2026-03-29 04:00:00,2203546.208,4429500545.9794
2026-03-29 05:00:00,2204219.768,4419524061.682626
2026-03-29 06:00:00,2202273.196,4413739592.964139
2026-03-29 07:00:00,2205034.284,4418513849.30772
2026-03-29 08:00:00,2207018.737,4425068372.363083
2026-03-29 09:00:00,2210631.222,4428392430.438941
2026-03-29 10:00:00,2222871.533,4441537393.059564
2026-03-29 11:00:00,2224873.644,4438361454.008779
2026-03-29 12:00:00,2223925.2,4453878702.658553
2026-03-29 13:00:00,2223232.602,4447920048.552643
2026-03-29 14:00:00,2229503.713,4428061914.46356
2026-03-29 15:00:00,2227258.123,4439214982.69499
2026-03-29 16:00:00,2230193.719,4442099849.5042
2026-03-29 17:00:00,2234327.05,4461370193.817
2026-03-29 18:00:00,2234423.527,4455882946.013128
2026-03-29 19:00:00,2229002.5,4450158911.2
2026-03-29 20:00:00,2226539.828,4442036018.45312
2026-03-29 21:00:00,2221343.564,4446188966.061072
2026-03-29 22:00:00,2220816.93,4453880081.5267315
2026-03-29 23:00:00,2176223.562,4292187493.56822
2026-03-30 00:00:00,2171107.119,4305913326.97032
2026-03-30 01:00:00,2161200.739,4314059243.14746
2026-03-30 02:00:00,2165140.442,4350821269.271208
2026-03-30 03:00:00,2163815.86,4390268502.833663
2026-03-30 04:00:00,2166249.769,4407628707.200858
2026-03-30 05:00:00,2165139.844,4433991850.266136
2026-03-30 06:00:00,2170937.229,4443561157.80636
2026-03-30 07:00:00,2176522.599,4443668015.2340765
2026-03-30 08:00:00,2165474.833,4458387859.92205
2026-03-30 09:00:00,2169668.959,4473103240.06876
2026-03-30 10:00:00,2175205.158,4468520415.041171
